"Sample","Material","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","Na2O","K2O","P2O5","Total %","Ba","Rb","Sr","V","Y","Zn","Zr"
"MST06","Oven Slag",21.5,0.23,4.49,63.27,2.47,0.8,2.46,0.45,1.52,0.61,99.65,709,56,117,47,40,9,139
"MST07","Oven Slag",22.16,0.36,6,63.65,4.94,1.17,3.08,0.11,2.72,0.24,99.47,1046,190,305,61,25,125,528
"MST08","Oven Slag",23.41,0.36,6.42,54.46,4.62,1.28,3.21,0.11,2.72,0.25,99.6,1082,146,263,59,16,83,263
"MST09","Oven Slag",20.46,0.17,2.74,76.69,1.14,0.49,1.33,0.11,0.49,0.23,99.79,207,27,150,21,0,106,132
"MST10","Oven Slag",31.26,0.34,6.21,51.8,3.41,1.14,2.18,0.64,1.38,0.36,99.72,590,57,109,57,69,10,149
"MST11","Oven Slag",26.49,0.37,5.43,48.14,7,0.85,2.74,0.17,2.78,0.39,99.46,539,211,466,54,34,169,441
"MST12","Smithing Slag",22.33,0.26,5.5,65.1,2.58,1.06,2.42,0.73,1.94,0.21,99.22,681,60,92,48,34,4,130
"MST13","Smithing Slag",16.2,0.11,1.46,77,0.26,0.61,2.79,0.25,0.56,0.21,99.77,258,35,317,25,0,121,142
"MST14","Smithing Slag",19.16,0.22,3.92,69.11,2.55,0.68,1.35,0.19,1.73,0.28,99.74,373,124,154,32,14,105,202
"MST15","Smithing Slag",6.94,0.04,0.78,79.27,0.1,0.2,1.13,0.18,0.22,0.26,99.83,142,24,94,5,29,90,52
"MST17","Plate Slag",22.6,0.35,5.88,64.31,4.37,1.01,2.21,0.14,2.63,0.2,99.61,779,150,356,56,36,150,295
"MST18","Plate Slag",18.35,0.16,2.97,77.79,1.45,0.4,1.54,0.22,1.2,0.14,99.76,358,63,143,25,25,77,249
"MST19","Plate Slag",15.83,0.1,1.74,86.5,0.45,0.27,0.84,0.17,0.28,0.18,99.82,96,27,95,11,0,94,163
"MST20","Plate Slag",20.85,0.23,3.77,55.54,3.55,1.17,1.86,0.1,0.99,0.22,99.76,312,61,180,35,37,102,160
"MST21","Plate Slag",12.42,0.16,3.22,82.34,1.59,0.7,3.14,0.51,1.24,0.17,99.71,665,56,231,28,0,92,189
"MST22","Plate Slag",33.47,0.4,7.96,47.26,6.53,1.56,3.41,0.47,3.05,0.38,99.77,1024,88,240,55,45,0,314
"MST23","Plate Slag",31.24,0.42,8.59,46.97,6.93,1.64,3.59,0.72,3.35,0.39,99.4,1051,119,293,65,33,8,369
"MST24","Plate Slag",23.68,0.32,6.59,52.69,3.16,2.26,2.47,0.27,2.93,0.19,99.66,506,85,102,55,46,0,247
"MST25","Plate Slag",30.65,0.38,8.85,47.56,7.61,1.43,2.39,0.41,2.96,0.61,99.66,658,107,314,78,27,31,162
"MST26","Plate Slag",28.13,0.34,8.27,57.8,3.44,1.4,2.11,0.28,2.71,0.24,99.68,674,80,104,52,58,10,178
"MST28","Plate Slag",27.16,0.32,7.98,56.57,5.54,1.31,2.91,0.22,2.49,0.28,99.54,734,87,161,57,42,9,146
"MST29","Plate Slag",30.13,0.28,5.47,59.31,3.52,1.18,1.57,0.36,1.46,0.28,99.53,462,54,58,46,73,0,115
"MST30","Flow Slag",29.52,0.33,5.73,57.2,4.53,1.89,3.02,0.28,1.67,0.3,99.5,471,69,169,53,48,10,424
"MST31","Flow Slag",31.1,0.32,6.36,52.8,4.55,1.54,3.51,0.33,2.86,0.32,99.63,603,87,211,47,27,0,232
"MST32","Flow Slag",36.72,0.37,6.78,47.72,4.41,1.86,3.52,0.22,1.88,0.28,99.51,529,71,162,55,59,0,352
"MST33","Flow Slag",20.65,0.31,6.19,65.75,3.77,2.07,2.44,0.24,3.05,0.27,99.65,531,96,111,44,61,44,256
"MST34","Flow Slag",24.35,0.2,3.4,65.34,1.28,0.69,2.44,0.27,0.89,0.33,99.73,672,26,60,38,35,7,160
"MST35","Flow Slag",31.39,0.39,8.27,49.69,3.94,1.56,3.83,0.26,4.03,0.19,99.39,1093,164,207,70,69,0,391
"MST36","Flow Slag",23.98,0.24,3.63,66.65,0.73,1.16,5.1,0.59,1.19,0.36,99.56,454,42,160,37,43,3,391
"MST38","Flow Slag",21.95,0.23,3.85,73.2,1.6,0.73,1.97,0.41,1.38,0.43,99.6,455,46,149,35,0,10,94
"MST39","Flow Slag",15.94,0.21,4.07,77.75,2.8,0.74,2.01,0.25,1.72,0.36,99.73,451,69,216,34,0,0,98
"MST40","Flow Slag",29.33,0.43,8.03,51.07,4.99,1.81,3.39,0.38,4.2,0.27,99.33,1341,144,237,66,0,0,398
"MST41","Flow Slag",24.4,0.4,7.2,61.61,3.53,1.4,2.49,0.3,3.18,0.24,99.39,1018,95,168,70,0,112,464
"MST42","Flow Slag",28.5,0.34,6.1,56.57,3.13,1.36,4.25,0.26,2.79,0.27,99.01,994,86,222,51,47,0,836
"MST43","Flow Slag",28.25,0.34,8.62,49.48,9.15,1.46,2,0.33,3.66,0.56,99.65,546,151,287,68,42,19,194
"MST05","Ore",8.44,0.14,2.79,72,5.74,0.45,1.29,0.06,0.99,0.67,99.7,1006,94,332,63,44,137,94
"MST02","Ore",17.7,0.24,3.32,70.68,3.85,0.41,0.52,0.09,1.43,0.12,99.62,319,98,156,36,69,206,491
"MST03","Ore",10.13,0.19,4.01,70.78,2.07,0.58,0.89,0.1,1.47,0.24,99.75,610,139,123,44,40,221,93
